datetime,SPY,cash,commission,total,returns,equity_curve,drawdown
2006-01-03,0.0,100000.0,0.0,100000.0,,,
2001-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-01-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-01-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-01-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-01-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-01-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2001-01-19,9444.287900000001,90500.4578,1.3,99944.7457,-0.0005525429999999609,0.999447457,0.0005525429999999609
2001-01-22,9507.047299999998,90500.4578,1.3,100007.50510000001,0.0006279409643843437,1.000075051,0.0
2001-01-23,9581.926,90500.4578,1.3,100082.38380000001,0.0007487308070042165,1.000823838,0.0
2001-01-24,9610.5553,90500.4578,1.3,100111.01310000001,0.00028605733509712294,1.0011101310000001,0.0
2001-01-25,9586.3304,90500.4578,1.3,100086.78820000001,-0.00024198037008982265,1.000867882,0.0002422490000000277
2001-01-26,9575.3235,90500.4578,1.3,100075.7813,-0.00010997355593045377,1.0007578129999999,0.00035231800000024016
2001-01-29,9626.4107,90500.4578,1.3,100126.86850000001,0.0005104851477188976,1.001268685,0.0
2001-01-30,9710.9772,90500.4578,1.3,100211.435,0.00084459347692456,1.00211435,0.0
2001-01-31,9656.012700000001,90500.4578,1.3,100156.47050000001,-0.0005484853100844456,1.0015647050000003,0.0005496449999997655
2001-02-01,9720.1401,90500.4578,1.3,100220.59790000001,0.0006402721629452657,1.0022059790000002,0.0
2001-02-02,9499.568199999998,90500.4578,1.3,100000.026,-0.0022008639403657826,1.0000002600000002,0.002205718999999995
2001-02-05,9569.3283,90500.4578,1.3,100069.7861,0.0006976008186236893,1.0006978610000001,0.0015081180000000582
2001-02-06,9541.1407,90500.4578,1.3,100041.59850000001,-0.00028167942691337267,1.0004159850000003,0.001789993999999906
2001-02-07,9491.8114,90500.4578,1.3,99992.26920000001,-0.0004930878828370844,0.9999226920000003,0.0022832869999999117
2001-02-08,9381.174500000001,90500.4578,1.3,99881.6323,-0.0011064545377875712,0.9988163230000001,0.003389656000000074
2001-02-09,9290.9691,90500.4578,1.3,99791.4269,-0.0009031230059302064,0.9979142690000002,0.004291709999999949
2001-02-12,9397.380799999999,90500.4578,1.3,99897.8386,0.001066341100690149,0.9989783860000001,0.003227593000000084
2001-02-13,9320.5627,90500.4578,1.3,99821.0205,-0.0007689665870308504,0.9982102050000001,0.003995774000000063
