Date,Open,High,Low,Close,Adj Close,Volume
2001-01-10,129.000000,132.125000,128.812500,132.125000,93.110535,8746100
2001-01-11,131.093704,133.484299,131.093704,132.250000,93.198608,7245100
2001-01-12,132.687500,133.718704,131.281204,132.000000,93.022469,7244000
2001-01-16,132.000000,133.187500,131.515594,132.843704,93.617012,8542200
2001-01-17,134.843704,135.046799,132.640594,133.453094,94.046494,7851400
2001-01-18,133.437500,135.703094,132.937500,134.781204,94.982422,8107000
2001-01-19,136.187500,136.187500,133.875000,134.015594,94.442879,7782500
2001-01-22,134.250000,135.781204,133.562500,134.906204,95.070473,7050900
2001-01-23,134.468704,136.656204,134.156204,135.968704,95.819260,8463100
2001-01-24,136.250000,137.312500,135.843704,136.375000,96.105553,6199900
2001-01-25,136.250000,137.250000,135.656204,136.031204,95.863304,10818300
2001-01-26,135.156204,136.125000,134.453094,135.875000,95.753235,7136800
2001-01-29,135.500000,136.899994,135.369995,136.600006,96.264107,6705900
2001-01-30,136.300003,137.919998,135.789993,137.800003,97.109772,7069100
2001-01-31,137.399994,138.699997,136.600006,137.020004,96.560127,9706900
2001-02-01,137.100006,137.949997,136.250000,137.929993,97.201401,8239100
2001-02-02,137.399994,137.990005,134.750000,134.800003,94.995682,8276600
2001-02-05,134.800003,135.940002,134.750000,135.789993,95.693283,4352900
2001-02-06,135.300003,136.699997,135.220001,135.389999,95.411407,7106700
2001-02-07,134.720001,135.399994,133.679993,134.690002,94.918114,5748700
2001-02-08,134.800003,135.399994,133.100006,133.119995,93.811745,5943300
2001-02-09,133.350006,133.350006,131.259995,131.839996,92.909691,9913000
2001-02-12,131.699997,133.500000,131.699997,133.350006,93.973808,5804400
2001-02-13,133.699997,134.169998,132.000000,132.259995,93.205627,6587600
2001-02-14,132.649994,132.649994,130.660004,132.059998,93.064735,8400100
2001-02-15,132.839996,133.520004,131.990005,133.339996,93.966766,5929800
2001-02-16,131.000000,131.289993,129.300003,130.399994,91.894875,6434900
2001-02-20,131.039993,131.139999,128.100006,128.389999,90.478409,5760000
2001-02-21,127.900002,128.839996,125.500000,125.620003,88.526375,10910800
